customer_id,customer_name,phone,address_area,main_branch,first_order_date,last_order_date,total_orders,total_spent,recency_days,R_score,F_score,M_score,RFM_Score
2074,خالد الشمري,1148461403,الحي السابع,October,2025-04-16,2025-04-16,1,700,15,5,1,2,512
3943,خالد الشاذلي,1096123854,كورنيش المعادي,Maadi,2025-03-05,2025-03-31,2,1556,31,4,4,4,444
1454,حسين الصاوي,1241682980,مكرم عبيد,Nasr City,2025-01-29,2025-03-19,2,1703,43,3,4,4,344
2643,شريف حسن,1239104712,مكرم عبيد,Nasr City,2025-01-04,2025-01-04,1,265,117,1,1,1,111
4981,خالد فتحي,1269794162,مكرم عبيد,Nasr City,2025-01-30,2025-03-14,3,2169,48,3,5,5,355
2152,شريف سالم,1197299880,النزهة,Heliopolis,2025-01-07,2025-04-12,3,2482,19,4,5,5,455
3021,رامي جمال,1146520717,ميدان الحصري,October,2025-01-10,2025-03-18,2,1291,44,3,4,4,344
3680,عبدالله عبدالله,1093639390,الحي الخامس,October,2025-02-06,2025-02-06,1,320,84,2,1,1,211
4660,رامي عبدالرحمن,1287082086,عباس العقاد,Nasr City,2025-01-11,2025-04-02,4,4210,29,4,5,5,455
4588,طارق فتحي,1124688262,مكرم عبيد,Nasr City,2025-01-05,2025-01-05,1,351,116,1,1,1,111
2238,زياد حجازي,1057808637,الحي الثالث,Zayed,2025-03-06,2025-03-06,1,459,56,3,1,1,311
1251,إبراهيم الشمري,1078820381,هليوبوليس سكوير,Heliopolis,2025-01-10,2025-01-23,2,2450,98,1,4,5,145
1405,خالد عادل,1239578082,مكرم عبيد,Nasr City,2025-02-11,2025-03-27,2,1924,35,4,4,5,445
3792,عمر النجار,1013563649,زايد 2,October,2025-01-13,2025-01-13,1,735,108,1,1,2,112
4164,زياد عبدالله,1169418831,مكرم عبيد,Nasr City,2025-04-30,2025-05-01,2,1520,0,5,4,4,544
1978,وليد منصور,1046988977,شارع الطيران,Nasr City,2025-01-15,2025-03-19,3,1878,43,3,5,5,355
2172,يوسف سيد,1289736584,ميدان الحصري,October,2025-01-16,2025-01-16,1,955,105,1,1,3,113
1892,طارق سيد,1251059320,شارع 9,Maadi,2025-01-09,2025-01-11,2,2160,110,1,4,5,145
2380,زياد الشريف,1075666911,الحي الثالث,Zayed,2025-04-15,2025-04-15,1,1020,16,5,1,3,513
3951,حمزة النجار,1031955191,الحي السابع,October,2025-02-06,2025-02-18,4,3435,72,2,5,5,255
2156,سامي سيد,1238615005,الحي السابع,October,2025-02-19,2025-02-19,1,370,71,2,1,1,211
3575,سيف منصور,1170047877,الحي السابع,October,2025-01-14,2025-01-14,1,654,107,1,1,2,112
2213,سيف النجار,1122397857,الحي السابع,October,2025-04-10,2025-04-10,1,597,21,4,1,1,411
2659,زياد جمال,1024375821,مكرم عبيد,Nasr City,2025-01-19,2025-04-08,2,1396,23,4,4,4,444
1339,يوسف جمال,1029473245,شارع الطيران,Nasr City,2025-03-26,2025-03-26,1,430,36,3,1,1,311
4527,عمر منصور,1192594994,هليوبوليس سكوير,Heliopolis,2025-02-12,2025-03-07,2,811,55,3,4,2,342
2675,عبدالله منصور,1114687154,هليوبوليس سكوير,Heliopolis,2025-04-15,2025-04-15,1,467,16,4,1,1,411
1031,سيف سالم,1122563758,المنطقة السادسة,Nasr City,2025-01-22,2025-04-10,5,4369,21,4,5,5,455
3277,زياد عبدالرحمن,1282465040,شارع 9,Maadi,2025-01-24,2025-01-24,1,1198,97,1,1,3,113
3482,حسين عبدالله,1059131039,المعادي الجديدة,Maadi,2025-01-25,2025-02-03,2,1450,87,1,4,4,144
2097,كريم منصور,1112296901,زايد 2,October,2025-01-05,2025-01-05,1,1153,116,1,1,3,113
4383,سامي عطية,1250947777,عباس العقاد,Nasr City,2025-02-14,2025-02-14,1,225,76,2,1,1,211
1537,أحمد عبدالله,1244947423,الحي الخامس,October,2025-03-09,2025-03-09,1,2035,53,3,1,5,315
1119,محمود عبدالله,1135845239,زهراء المعادي,Maadi,2025-01-01,2025-04-05,4,4463,26,4,5,5,455
2179,محمد فتحي,1014304600,الحي الثالث,Zayed,2025-03-23,2025-04-30,2,1436,1,5,4,4,544
3761,عبدالله عبدالله,1233481143,الحي الخامس,October,2025-01-11,2025-04-25,2,798,6,5,4,2,542
2026,حمزة حسن,1182336095,الحي الثالث,Zayed,2025-03-13,2025-04-26,2,2912,5,5,4,5,545
4212,وليد حجازي,1140918806,هليوبوليس سكوير,Heliopolis,2025-01-18,2025-04-28,2,1575,3,5,4,4,544
3468,سيف عادل,1293547821,روكسي,Heliopolis,2025-01-01,2025-02-11,4,3781,79,2,5,5,255
2545,طارق النجار,1264700049,شارع الطيران,Nasr City,2025-02-24,2025-03-12,2,1519,50,3,4,4,344
2520,زياد الشاذلي,1151975849,الحي الثالث,Zayed,2025-04-07,2025-04-07,1,442,24,4,1,1,411
2224,وليد سالم,1232690079,شارع الطيران,Nasr City,2025-03-13,2025-03-13,1,778,49,3,1,2,312
2961,ياسين عبدالرحمن,1012416440,شارع 9,Maadi,2025-02-05,2025-02-05,1,1332,85,2,1,4,214
4521,زياد الشاذلي,1188095009,الميرغني,Heliopolis,2025-03-20,2025-04-28,4,3232,3,5,5,5,555
1713,رامي جمال,1111908672,الحي السابع,October,2025-02-09,2025-04-26,3,1706,5,5,5,4,554
2260,خالد الشريف,1135553196,المعادي الجديدة,Maadi,2025-01-28,2025-03-31,3,1917,31,4,5,5,455
2878,زياد الهواري,1248907196,الحي الثالث,Zayed,2025-01-26,2025-02-13,2,2154,77,2,4,5,245
1061,سامي فتحي,1020973342,هليوبوليس سكوير,Heliopolis,2025-04-14,2025-04-14,1,292,17,4,1,1,411
3541,محمد الهواري,1136465567,المعادي الجديدة,Maadi,2025-03-26,2025-03-26,1,325,36,3,1,1,311
4774,كريم عبدالله,1262615831,المعادي الجديدة,Maadi,2025-02-09,2025-03-15,3,2540,47,3,5,5,355
3478,مصطفى النجار,1161024616,زهراء المعادي,Maadi,2025-04-27,2025-04-27,1,382,4,5,1,1,511
3418,مصطفى عبدالرحمن,1122501185,شارع 9,Maadi,2025-02-15,2025-02-15,1,346,75,2,1,1,211
3361,طارق سيد,1154724986,شارع الطيران,Nasr City,2025-01-07,2025-01-07,1,926,114,1,1,3,113
3472,سامي حجازي,1189849407,مكرم عبيد,Nasr City,2025-02-12,2025-03-04,3,2285,58,3,5,5,355
2762,وليد فتحي,1188476541,الحي الرابع,Zayed,2025-03-24,2025-03-24,1,1404,38,3,1,4,314
1262,أحمد الشاذلي,1010478085,روكسي,Heliopolis,2025-02-05,2025-02-05,1,590,85,2,1,1,211
3666,عبدالله عادل,1035142424,النزهة,Heliopolis,2025-01-11,2025-01-11,1,562,110,1,1,1,111
2806,حمزة حسن,1211720717,المعادي الجديدة,Maadi,2025-01-31,2025-03-21,3,2688,41,3,5,5,355
4870,سامي عبدالرحمن,1045888559,شارع 9,Maadi,2025-03-20,2025-03-31,2,2369,31,4,4,5,445
4969,حسين سالم,1059007242,هليوبوليس سكوير,Heliopolis,2025-03-05,2025-03-05,1,725,57,3,1,2,312
1274,وليد الشاذلي,1296618454,الميرغني,Heliopolis,2025-04-25,2025-04-25,1,1362,6,5,1,4,514
4265,مصطفى الشمري,1211094474,مكرم عبيد,Nasr City,2025-03-26,2025-03-26,1,1884,36,3,1,5,315
1098,عمر الشمري,1229438393,النزهة,Heliopolis,2025-01-28,2025-04-29,3,1370,2,5,5,4,554
1812,حمزة سالم,1114463617,الحي الثالث,Zayed,2025-01-06,2025-01-18,2,1442,103,1,4,4,144
3483,محمد عبدالسلام,1084986453,زهراء المعادي,Maadi,2025-01-02,2025-02-06,2,1861,84,2,4,5,245
4165,وليد الشمري,1026966045,الحي الثالث,Zayed,2025-02-28,2025-04-14,2,1898,17,4,4,5,445
1586,أحمد سالم,1123362689,زهراء المعادي,Maadi,2025-01-10,2025-01-10,1,796,111,1,1,2,112
3922,حمزة حسن,1290464636,الحي الخامس,October,2025-03-03,2025-03-03,1,783,59,2,1,2,212
3335,رامي الصاوي,1274713452,الحي الرابع,Zayed,2025-02-22,2025-03-31,2,618,31,4,4,2,442
3733,طارق فتحي,1214507093,الحي الأول,Zayed,2025-01-13,2025-01-13,1,1422,108,1,1,4,114
4569,عبدالله الهواري,1142356151,كورنيش المعادي,Maadi,2025-04-21,2025-04-21,1,434,10,5,1,1,511
1903,أحمد حسن,1251601830,الحي الأول,Zayed,2025-03-27,2025-05-01,2,2229,0,5,4,5,545
2744,سامي عبدالرحمن,1294854101,ميدان الحصري,October,2025-02-07,2025-03-05,2,1366,57,3,4,4,344
1023,خالد فتحي,1061493377,شارع 9,Maadi,2025-01-18,2025-03-28,4,3370,34,4,5,5,455
4548,حسين الشمري,1120668526,المنطقة السادسة,Nasr City,2025-01-19,2025-02-12,2,2602,78,2,4,5,245
3514,سيف الشمري,1256450555,شارع 9,Maadi,2025-03-05,2025-03-31,2,883,31,4,4,2,442
4558,سيف الهواري,1036313207,روكسي,Heliopolis,2025-02-08,2025-02-08,1,1500,82,2,1,4,214
2175,خالد الشريف,1115305593,مكرم عبيد,Nasr City,2025-04-04,2025-04-04,1,435,27,4,1,1,411
2193,طارق سيد,1239815288,المنطقة السادسة,Nasr City,2025-03-09,2025-04-21,2,582,10,5,4,1,541
3169,سيف الصاوي,1287993653,الحي الأول,Zayed,2025-01-20,2025-04-12,3,1932,19,4,5,5,455
3840,حمزة عادل,1063450208,المعادي الجديدة,Maadi,2025-03-24,2025-03-24,1,992,38,3,1,3,313
4476,حمزة الشاذلي,1161468527,روكسي,Heliopolis,2025-01-29,2025-04-05,2,943,26,4,4,3,443
1110,محمد عبدالسلام,1072431127,المعادي الجديدة,Maadi,2025-04-24,2025-04-24,1,795,7,5,1,2,512
4083,خالد عطية,1159953550,المعادي الجديدة,Maadi,2025-01-27,2025-01-27,1,688,94,1,1,2,112
3479,رامي عبدالله,1137989832,ميدان الحصري,October,2025-02-26,2025-05-01,2,1364,0,5,4,4,544
4757,عبدالله حسن,1038417660,الحي الخامس,October,2025-01-28,2025-02-02,2,1287,88,1,4,3,143
2146,محمد فتحي,1253123628,روكسي,Heliopolis,2025-01-02,2025-04-28,3,2728,3,5,5,5,555
1317,وليد الشاذلي,1033260625,كورنيش المعادي,Maadi,2025-02-01,2025-04-16,2,1380,15,5,4,4,544
3930,حسين عطية,1267629607,الحي السابع,October,2025-04-11,2025-04-11,1,401,20,4,1,1,411
3363,سامي سيد,1098123530,الحي الثالث,Zayed,2025-01-22,2025-04-09,3,1809,22,4,5,4,454
2661,حسين الصاوي,1029349740,مكرم عبيد,Nasr City,2025-01-09,2025-04-12,3,2565,19,4,5,5,455
3109,طارق عبدالرحمن,1026322533,كورنيش المعادي,Maadi,2025-01-14,2025-04-23,3,2562,8,5,5,5,555
3557,عمر فتحي,1010722347,المنطقة السادسة,Nasr City,2025-01-26,2025-03-27,3,3782,35,4,5,5,455
3248,شريف الهواري,1168781045,النزهة,Heliopolis,2025-03-20,2025-04-18,2,1515,13,5,4,4,544
4675,حمزة عادل,1264202047,هليوبوليس سكوير,Heliopolis,2025-01-06,2025-01-14,2,2161,107,1,4,5,145
4800,خالد منصور,1075225757,الحي الخامس,October,2025-02-16,2025-02-16,1,260,74,2,1,1,211
4385,حسين الصاوي,1026739522,المنطقة السادسة,Nasr City,2025-03-15,2025-04-28,3,1798,3,5,5,4,554
4542,وليد الصاوي,1092836627,روكسي,Heliopolis,2025-03-02,2025-04-03,2,2356,28,4,4,5,445
3234,ياسين عادل,1023458919,المعادي الجديدة,Maadi,2025-02-26,2025-02-26,1,780,64,2,1,2,212
1668,زياد حجازي,1162315866,زايد 2,October,2025-03-15,2025-03-17,2,1404,45,3,4,4,344
2396,رامي عادل,1062668504,زايد 2,October,2025-01-20,2025-01-20,1,1240,101,1,1,3,113
2044,طارق النجار,1124890521,كورنيش المعادي,Maadi,2025-01-20,2025-04-14,2,1160,17,4,4,3,443
4966,عبدالله حجازي,1267314467,عباس العقاد,Nasr City,2025-02-24,2025-03-31,2,635,31,4,4,2,442
4784,خالد سيد,1160420820,الحي الخامس,October,2025-04-28,2025-04-28,1,708,3,5,1,2,512
4891,ياسين الشريف,1167145597,شارع 9,Maadi,2025-04-19,2025-04-19,1,933,12,5,1,3,513
3672,حمزة الشمري,1159338938,النزهة,Heliopolis,2025-01-17,2025-01-17,1,567,104,1,1,1,111
3934,كريم النجار,1073502923,زهراء المعادي,Maadi,2025-01-07,2025-01-07,1,956,114,1,1,3,113
2779,طارق حجازي,1247280397,زايد 2,October,2025-04-01,2025-04-01,1,940,30,4,1,3,413
3146,يوسف الصاوي,1172788771,الميرغني,Heliopolis,2025-04-03,2025-04-03,1,375,28,4,1,1,411
1623,حسين الصاوي,1170690000,الحي الرابع,Zayed,2025-01-11,2025-04-02,2,967,29,4,4,3,443
4431,أحمد حسن,1035712350,الحي السابع,October,2025-01-24,2025-03-12,2,2523,50,3,4,5,345
1087,شريف الشاذلي,1058593157,زايد 2,October,2025-01-02,2025-03-16,4,2327,46,3,5,5,355
1468,رامي عبدالرحمن,1075104061,الحي السابع,October,2025-04-11,2025-04-11,1,351,20,4,1,1,411
2716,عمر الشمري,1048619284,الحي السابع,October,2025-01-02,2025-04-01,2,1098,30,4,4,3,443
3939,إبراهيم عبدالله,1131258229,زايد 2,October,2025-03-13,2025-03-13,1,976,49,3,1,3,313
3923,سيف حسن,1173789175,الحي الخامس,October,2025-03-06,2025-03-06,1,847,56,3,1,2,312
4351,شريف عبدالسلام,1186817627,المعادي الجديدة,Maadi,2025-01-01,2025-03-14,3,2790,48,3,5,5,355
1093,أحمد حسن,1016571306,الحي الثالث,Zayed,2025-01-11,2025-04-20,4,3724,11,5,5,5,555
3206,أحمد سيد,1036947169,الميرغني,Heliopolis,2025-01-22,2025-02-09,2,812,81,2,4,2,242
1085,سيف الشريف,1212381333,زهراء المعادي,Maadi,2025-04-23,2025-04-23,2,1609,8,5,4,4,544
4235,محمود فتحي,1058369406,روكسي,Heliopolis,2025-02-25,2025-04-18,3,3065,13,5,5,5,555
3988,كريم عبدالله,1282916714,الميرغني,Heliopolis,2025-01-16,2025-02-21,2,2568,69,2,4,5,245
3265,أحمد عطية,1155436212,المنطقة السادسة,Nasr City,2025-01-31,2025-03-19,3,2568,43,3,5,5,355
2375,حمزة الشمري,1126474335,زهراء المعادي,Maadi,2025-02-11,2025-04-22,3,2793,9,5,5,5,555
2739,أحمد الهواري,1019507065,روكسي,Heliopolis,2025-02-26,2025-02-26,1,771,64,2,1,2,212
4231,طارق سيد,1282915643,ميدان الحصري,October,2025-01-04,2025-01-04,1,1402,117,1,1,4,114
4468,حمزة الهواري,1161188108,روكسي,Heliopolis,2025-01-08,2025-03-29,4,2849,33,4,5,5,455
4878,حمزة فتحي,1292147710,ميدان الحصري,October,2025-03-29,2025-03-29,1,788,33,4,1,2,412
1571,حمزة عطية,1063556412,الحي الأول,Zayed,2025-03-06,2025-04-30,2,2384,1,5,4,5,545
4004,محمود فتحي,1152844352,النزهة,Heliopolis,2025-03-02,2025-03-02,1,1268,60,2,1,3,213
3085,سيف جمال,1114995958,شارع 9,Maadi,2025-02-20,2025-04-21,3,3102,10,5,5,5,555
1100,كريم عبدالرحمن,1126013131,شارع 9,Maadi,2025-03-02,2025-04-26,4,4018,5,5,5,5,555
2770,خالد عبدالله,1270378043,النزهة,Heliopolis,2025-01-24,2025-02-13,2,1803,77,2,4,4,244
2833,رامي عبدالسلام,1013606576,كورنيش المعادي,Maadi,2025-03-30,2025-03-30,1,481,32,4,1,1,411
4962,ياسين الشاذلي,1146384906,روكسي,Heliopolis,2025-03-19,2025-04-06,2,1123,25,4,4,3,443
2952,أحمد حجازي,1290164365,ميدان الحصري,October,2025-01-14,2025-02-13,3,2943,77,2,5,5,255
4434,يوسف عبدالسلام,1142238553,الحي السابع,October,2025-01-04,2025-01-04,1,420,117,1,1,1,111
4761,رامي سالم,1036058957,الميرغني,Heliopolis,2025-02-28,2025-04-29,4,2620,2,5,5,5,555
3386,طارق جمال,1238744802,ميدان الحصري,October,2025-03-03,2025-04-29,2,1969,2,5,4,5,545
3655,أحمد الهواري,1010766130,زايد 2,October,2025-02-26,2025-04-20,2,646,11,5,4,2,542
1017,سيف حجازي,1027373835,مكرم عبيد,Nasr City,2025-01-15,2025-02-16,2,1576,74,2,4,4,244
3298,سيف حسن,1143082913,روكسي,Heliopolis,2025-03-08,2025-04-11,2,1510,20,4,4,4,444
